Month,Price,Change
Mar 2000,58.49,-
Apr 2000,56.46,-3.47%
May 2000,59.40,5.21%
Jun 2000,61.32,3.23%
Jul 2000,59.85,-2.40%
Aug 2000,60.75,1.50%
Sep 2000,63.58,4.66%
Oct 2000,62.86,-1.13%
Nov 2000,63.93,1.70%
Dec 2000,64.44,0.80%
Jan 2001,63.95,-0.76%
Feb 2001,60.98,-4.64%
Mar 2001,59.03,-3.20%
Apr 2001,59.39,0.61%
May 2001,59.98,0.99%
Jun 2001,58.43,-2.58%
Jul 2001,55.90,-4.33%
Aug 2001,56.13,0.41%
Sep 2001,54.04,-3.72%
Oct 2001,50.39,-6.75%
Nov 2001,48.17,-4.41%
Dec 2001,47.90,-0.56%
Jan 2002,48.53,1.32%
Feb 2002,49.55,2.10%
Mar 2002,53.97,8.92%
Apr 2002,55.78,3.35%
May 2002,55.94,0.29%
Jun 2002,54.94,-1.79%
Jul 2002,56.43,2.71%
Aug 2002,56.68,0.44%
Sep 2002,58.93,3.97%
Oct 2002,60.10,1.99%
Nov 2002,58.03,-3.44%
Dec 2002,61.33,5.69%
Jan 2003,65.34,6.54%
Feb 2003,70.35,7.67%
Mar 2003,65.83,-6.43%
Apr 2003,61.87,-6.02%
May 2003,63.06,1.92%
Jun 2003,64.36,2.06%
Jul 2003,63.28,-1.68%
Aug 2003,64.44,1.83%
Sep 2003,64.50,0.09%
Oct 2003,67.45,4.57%
Nov 2003,67.38,-0.10%
Dec 2003,70.51,4.65%
Jan 2004,73.12,3.70%
Feb 2004,72.88,-0.33%
Mar 2004,75.53,3.64%
Apr 2004,76.48,1.26%
May 2004,79.74,4.26%
Jun 2004,78.39,-1.69%
Jul 2004,79.72,1.70%
Aug 2004,80.96,1.56%
Sep 2004,80.59,-0.46%
Oct 2004,86.39,7.20%
Nov 2004,83.73,-3.08%
Dec 2004,82.57,-1.39%
Jan 2005,85.43,3.46%
Feb 2005,87.44,2.35%
Mar 2005,94.52,8.10%
Apr 2005,94.07,-0.48%
May 2005,91.60,-2.63%
Jun 2005,95.47,4.22%
Jul 2005,97.85,2.49%
Aug 2005,103.80,6.08%
Sep 2005,107.69,3.75%
Oct 2005,107.18,-0.47%
Nov 2005,101.20,-5.58%
Dec 2005,106.18,4.92%
